,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM),Minimized Energy (Cell Minimization),Original Box Vectors,Minimized Box Vectors
0,2201001,[0.0767314],4497.50754584254 kJ/mol,1845.1756859536508 kJ/mol,1826.048103449475 kJ/mol,"[[ 2.1051      0.          0.        ]
 [ 0.          3.0687      0.        ]
 [-0.11665752  0.          2.60919341]]","[[ 2.10825359e+00  0.00000000e+00  0.00000000e+00]
 [ 4.00216506e-03  3.06157588e+00  0.00000000e+00]
 [-1.54042386e-01  2.98967789e-03  2.57958853e+00]]"
1,2105585,[0.0235596],21391.832893928877 kJ/mol,17668.77438429442 kJ/mol,17656.303842265545 kJ/mol,"[[2.6564 0.     0.    ]
 [0.     2.1327 0.    ]
 [0.     0.     3.4782]]","[[2.64938769e+00 0.00000000e+00 0.00000000e+00]
 [6.85565381e-04 2.13184658e+00 0.00000000e+00]
 [2.82840621e-04 3.78063038e-04 3.48680849e+00]]"
2,2015769,[0.6443957],24081.70034128194 kJ/mol,22478.063406305748 kJ/mol,22426.15283398277 kJ/mol,"[[ 2.355       0.          0.        ]
 [ 0.          2.0696      0.        ]
 [-0.28621406  0.          3.2648786 ]]","[[ 2.36314009  0.          0.        ]
 [ 0.0073342   2.08663603  0.        ]
 [-0.29124927 -0.01063054  3.27110246]]"
3,1504357,[1.2127035],1654.6181908531107 kJ/mol,-96.31212191605664 kJ/mol,-108.66367269693592 kJ/mol,"[[ 2.8734      0.          0.        ]
 [ 0.          2.1312      0.        ]
 [-1.18009487  0.          2.76401977]]","[[ 2.86646921e+00  0.00000000e+00  0.00000000e+00]
 [-1.80371787e-03  2.13459424e+00  0.00000000e+00]
 [-1.17464506e+00 -2.53295762e-03  2.76492999e+00]]"
4,1511801,[0.01485641],-5138.136933430111 kJ/mol,-2366.391648449808 kJ/mol,-3195.8570996744284 kJ/mol,"[[ 2.2926      0.          0.        ]
 [ 0.          3.5736      0.        ]
 [-0.04949919  0.          2.55472051]]","[[ 2.35718149e+00  0.00000000e+00  0.00000000e+00]
 [-1.00192017e-03  3.60570867e+00  0.00000000e+00]
 [-5.51792760e-02  5.18433235e-04  2.60020818e+00]]"
5,7219429,[0.45796862],-549.1781311834857 kJ/mol,-24262.69602385094 kJ/mol,-25807.830812157496 kJ/mol,"[[ 2.1036      0.          0.        ]
 [ 0.          3.93        0.        ]
 [-0.17856219  0.          2.36376517]]","[[ 2.14199035e+00  0.00000000e+00  0.00000000e+00]
 [-4.74271143e-04  3.95291456e+00  0.00000000e+00]
 [-1.78565328e-01 -1.59154943e-03  2.41552530e+00]]"
6,7200790,[1.2355189],13555.16845063589 kJ/mol,7231.243397397859 kJ/mol,6605.404657233972 kJ/mol,"[[4.5264 0.     0.    ]
 [0.     2.2293 0.    ]
 [0.     0.     2.31  ]]","[[ 4.48337275e+00  0.00000000e+00  0.00000000e+00]
 [ 1.38000264e-03  2.21946602e+00  0.00000000e+00]
 [ 1.04046834e-02 -5.03930098e-04  2.28701240e+00]]"
7,8100793,[0.6052495],-24970.583332528447 kJ/mol,-26628.186874078292 kJ/mol,-26666.379329625313 kJ/mol,"[[ 2.6505      0.          0.        ]
 [ 0.          2.2392      0.        ]
 [-0.50017231  0.          3.08815709]]","[[ 2.64618235e+00  0.00000000e+00  0.00000000e+00]
 [-3.86851632e-04  2.22152587e+00  0.00000000e+00]
 [-4.99025275e-01 -1.57250442e-03  3.09083106e+00]]"
8,2231730,[0.05000048],-23927.86696480059 kJ/mol,-28390.38675321144 kJ/mol,-28777.374973391714 kJ/mol,"[[ 2.3274      0.          0.        ]
 [ 0.          4.0902      0.        ]
 [-0.02175063  0.          2.4435032 ]]","[[ 2.29920077e+00  0.00000000e+00  0.00000000e+00]
 [ 3.53573970e-03  4.06450121e+00  0.00000000e+00]
 [-3.21955570e-02 -4.55158075e-03  2.43994190e+00]]"
9,7206516,[1.1237051],18537.309715871925 kJ/mol,15010.214925783588 kJ/mol,11517.467515139306 kJ/mol,"[[ 4.2141      0.          0.        ]
 [ 0.          2.1484      0.        ]
 [-0.72951312  0.          2.46595563]]","[[ 4.12870790e+00  0.00000000e+00  0.00000000e+00]
 [ 2.92755271e-03  2.21490038e+00  0.00000000e+00]
 [-7.31377936e-01 -1.90169225e-02  2.47893756e+00]]"
